date,open,high,low,close,volume
09/04/2013,77.24,78.46,77.02,78.12,8652436
10/04/2013,78.28,78.38,77.37,77.37,8598933
11/04/2013,77.36,78.37,77.27,77.79,7127971
12/04/2013,77.63,78.85,77.58,78.56,6337965
15/04/2013,78.44,79.28,78.43,78.47,8549081
16/04/2013,78.23,78.86,78.0301,78.68,6854546
17/04/2013,78.53,79.07,78.11,78.51,7248636
18/04/2013,78.76,79.05,76.6101,77.16,14209056
19/04/2013,77.5,78.44,77.4,78.29,7827256
22/04/2013,78.29,78.44,77.5,77.97,5155003
23/04/2013,78.11,79.22,78.05,79.09,6654114
24/04/2013,79.23,79.5,77.92,78.03,8083545
25/04/2013,78.18,78.8275,77.881,78.65,5730230
26/04/2013,78.58,79.15,78.57,79.04,5923528
29/04/2013,79.08,79.25,78.15,78.39,6157808
30/04/2013,78.28,78.3,77.37,77.72,7961644
01/05/2013,77.85,78.66,77.69,78.06,6260681
02/05/2013,77.91,78.49,77.8,78.46,4515961
03/05/2013,78.92,79.34,78.9,79.25,5599388
06/05/2013,79.1,79.16,78.77,78.83,4807003
07/05/2013,79.1,79.143,78.77,78.83,6571101
08/05/2013,78.5599,78.66,77.78,78.25,8008719
09/05/2013,78.31,78.96,77.9,78.4,6516841
10/05/2013,78.47,78.91,78.28,78.89,5831224
13/05/2013,78.8,78.94,77.915,78.5,7714538
14/05/2013,77.98,78.86,77.67,78.78,10017969
15/05/2013,78.8,79.96,78.65,79.86,8000420
16/05/2013,78.1,78.86,77.34,78.5,12128798
17/05/2013,78.3,78.589,77.4,77.87,10671373
20/05/2013,77.88,77.9,77.355,77.4,5582600
21/05/2013,77.62,78.18,77.25,77.39,7484386
22/05/2013,77.19,77.8,76.75,77.03,9029193
23/05/2013,76.83,76.94,76.25,76.33,8023168
24/05/2013,76.32,77.41,76.15,77.31,7589559
28/05/2013,77.52,78.04,77.06,77.32,6059170
29/05/2013,77.05,77.05,76.06,76.23,5882206
30/05/2013,76.49,76.54,75.61,75.63,6228644
31/05/2013,75.36,75.63,74.82,74.84,9748362
03/06/2013,75.06,75.8,74.6368,75.69,8441954
04/06/2013,75.77,76.38,75.47,75.94,9344138
05/06/2013,75.72,75.9499,75.07,75.25,6778532
06/06/2013,75.27,75.735,74.835,75.63,9426122
07/06/2013,76.38,76.87,76.19,76.33,8348010
10/06/2013,76.28,76.65,75.66,75.75,6731621
11/06/2013,75.42,75.83,74.99,75.25,6006369
12/06/2013,75.47,75.71,74.65,74.84,4731024
13/06/2013,74.78,75.33,74.56,75,7241763
14/06/2013,74.84,75.27,74.8,74.87,6351451
17/06/2013,75,75.445,74.51,74.95,6481064
18/06/2013,75,75.88,74.8,75.73,6739607
19/06/2013,75.74,75.96,74.34,74.46,8329067
20/06/2013,74.5,74.66,73.01,73.03,9071090
21/06/2013,73.52,74.2,73.255,73.51,14575716
24/06/2013,73.05,74.79,72.9,74.2,9697215
25/06/2013,74.27,74.75,73.84,74.37,7221540
