date,open,high,low,close,volume
17/09/2013,79.96,80.25,79.64,79.83,5458695
18/09/2013,79.06,80.48,78.53,80.295,10372103
19/09/2013,80.5,80.53,79.785,80.12,8161568
20/09/2013,80.09,80.18,79.39,79.39,11156529
23/09/2013,79.2,79.58,78.67,79.28,6305070
24/09/2013,78.965,79.48,78.59,78.62,7525464
25/09/2013,78.84,79,77.71,77.72,7589283
26/09/2013,77.91,78.14,77.62,78.05,4633310
27/09/2013,77.75,77.75,76.77,77.21,6551336
30/09/2013,76.8,77.16,75.35,75.59,15028271
01/10/2013,75.52,76.5,75.44,76.16,8080992
02/10/2013,75.91,76.14,75.42,75.93,8522945
03/10/2013,75.89,76.14,75.2,75.84,9251589
04/10/2013,75.98,76.12,75.5145,76.02,4984717
07/10/2013,75.66,76.1,75.48,75.65,6373266
08/10/2013,76.39,76.995,76.05,76.33,9702490
09/10/2013,76.58,77.16,76.1,76.95,8470729
10/10/2013,77.41,77.92,77.15,77.89,10122110
11/10/2013,78,78.49,77.805,78.48,6082105
14/10/2013,78.01,78.795,77.93,78.74,6326138
15/10/2013,78.38,78.61,77.44,77.6,11192629
16/10/2013,77.35,78.49,77.26,78.34,6538524
17/10/2013,78.19,79.47,77.98,79.42,8671299
18/10/2013,79.39,79.57,78.78,79.41,7940526
21/10/2013,79.27,79.319,78.44,78.97,6460462
22/10/2013,79.31,80.615,79.275,80.38,9559403
23/10/2013,80.34,81.245,80.25,80.91,8960693
24/10/2013,80.77,80.95,80.25,80.61,7412349
25/10/2013,80.55,80.72,79.51,80,9606554
28/10/2013,80.11,81.86,79.95,81.3,9792814
29/10/2013,81.46,82.62,81.1,82.46,9486184
30/10/2013,82.53,82.56,81.23,81.52,6490020
31/10/2013,81.2,81.6,80.72,80.75,7786770
01/11/2013,80.68,81.335,80.64,81.15,6802298
04/11/2013,81.46,81.73,80.91,81.33,5460057
05/11/2013,81.13,81.74,80.85,81.43,4955703
06/11/2013,81.64,83.1,81.33,82.81,9518391
07/11/2013,82.91,83.1,82.11,82.32,10087888
08/11/2013,82.28,82.57,81.67,82.51,9768364
11/11/2013,82.35,82.68,82.02,82.26,6173611
12/11/2013,82.23,83.04,82.12,82.8,8201719
13/11/2013,82.57,83.5,82.46,83.5,7582073
14/11/2013,83.43,84.46,83.425,84.32,7580546
15/11/2013,84.17,84.92,84.16,84.84,9671264
18/11/2013,84.79,84.94,84.18,84.57,8507338
19/11/2013,84.31,84.59,84.21,84.34,7924211
20/11/2013,84.31,84.98,84.24,84.69,7680871
21/11/2013,84.84,84.89,84.51,84.67,7289111
22/11/2013,84.53,85,84.23,84.95,7436283
25/11/2013,84.96,85.82,84.85,85.41,9670468
26/11/2013,85.2,85.76,84.64,84.64,7111828
27/11/2013,84.88,84.89,84.02,84.28,4905048
29/11/2013,84.77,85.21,84.15,84.22,4954483
